Year,Sex,Type,Cancer_Type,MorRate_Age_0_to_4,MorRate_Age_5_to_9,MorRate_Age_10_to_14,MorRate_Age_15_to_19,MorRate_Age_20_to_24,MorRate_Age_25_to_29,MorRate_Age_30_to_34,MorRate_Age_35_to_39,MorRate_Age_40_to_44,MorRate_Age_45_to_49,MorRate_Age_50_to_54,MorRate_Age_55_to_59,MorRate_Age_60_to_64,MorRate_Age_65_to_69,MorRate_Age_70_to_74,MorRate_Age_75_to_79,MorRate_Age_80_to_84,MorRate_Age_85+
2009,Male,Mortality,Acute lymphoblastic leukaemia,0.000570877,0.000606866,0.000586875,0.004334845,0.000949749,0.00049156,0.000535269,0.001007349,0.001067019,0.000534794,0.00115942,0.000652154,0.005043446,0.00095681,0.002435282,0.009285913,0.004280547,0.003121293
2009,Male,Mortality,Acute myeloid leukaemia,0.000570877,0.000606866,0.000586875,0.000541856,0.000949749,0.00098312,0.001070538,0.00352572,0.004268078,0.006952318,0.007536232,0.014999543,0.023776244,0.064106244,0.084017242,0.150122265,0.156239967,0.206005369
2009,Male,Mortality,Anal cancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095681,0.001217641,0.003095304,0.004280547,0.003121293
2009,Male,Mortality,Bladder cancer,0,0,0,0,0,0,0,0,0.002667549,0.002139175,0.008115942,0.011738773,0.042509042,0.054538148,0.125417042,0.150122265,0.353145132,0.583681878
2009,Male,Mortality,Bowel cancer,0,0,0,0.001083711,0.001424623,0.00147468,0.002676344,0.010073486,0.016538802,0.025135303,0.048115942,0.104996804,0.184446014,0.274604359,0.376251126,0.540130622,0.774779017,1.020662963
2009,Male,Mortality,Brain cancer,0.003425264,0.005461795,0.004108126,0.005418556,0.000949749,0.0024578,0.007493764,0.013095532,0.014404763,0.025135303,0.025507246,0.042390014,0.064844302,0.087069675,0.109587707,0.116073916,0.128416412,0.07178975
2009,Male,Mortality,Breast cancer,0,0,0,0,0,0,0,0,0.00053351,0,0.00173913,0.001304308,0.003602461,0.002870429,0.004870565,0.003095304,0.006420821,0.018727761
2009,Male,Mortality,Chronic lymphocytic leukaemia,0,0,0,0,0,0,0,0,0,0.000534794,0.00173913,0.007825849,0.008645907,0.015308954,0.0413998,0.065001393,0.085610941,0.143579499
2009,Male,Mortality,Chronic myeloid leukaemia,0,0,0,0,0,0,0,0.000503674,0.001067019,0,0,0.001304308,0.002881969,0.00095681,0.008523488,0.010833565,0.027823556,0.062425869
2009,Male,Mortality,Colon cancer,0,0,0,0.001083711,0.000949749,0.00098312,0.002141075,0.004029394,0.006935627,0.014439429,0.020869565,0.043694322,0.092943499,0.131082917,0.21552249,0.29405392,0.445176894,0.664835508
